date,headline,body,sentiment_hint,ticker
2023-07-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 31,458,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-05,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 46,920,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-06,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,094,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-07,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 46,815,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-10,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 59,922,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-11,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,638,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-12,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,750,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-13,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 41,342,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-14,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 41,616,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-17,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 50,520,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-18,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 48,288,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-19,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 80,507,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 59,581,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-21,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 71,951,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-24,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,377,800. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-25,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 37,283,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-26,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 47,471,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-27,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 47,460,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-28,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 48,291,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-31,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 38,824,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-01,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 35,175,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-02,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 50,389,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 61,235,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-04,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 115,956,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-07,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 97,576,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-08,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 67,823,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-09,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 60,378,500. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-10,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 54,686,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-11,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 52,036,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-14,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 43,675,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-15,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 43,622,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-16,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,964,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-17,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 66,062,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-18,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 61,172,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-21,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 46,311,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-22,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 42,038,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-23,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 52,722,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-24,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 54,945,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-25,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,449,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-28,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 43,820,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-29,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 53,003,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-30,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,813,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-31,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 60,794,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-01,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 45,766,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-05,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,280,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-06,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 81,755,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-07,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 112,488,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-08,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 65,551,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-11,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 58,953,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-12,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 90,370,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-13,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 84,267,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-14,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,895,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-15,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 109,259,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-18,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 67,257,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-19,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,826,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 58,436,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-21,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 63,149,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-22,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 56,725,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-25,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 46,172,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-26,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 64,588,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-27,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 66,921,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-28,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 56,294,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-29,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 51,861,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-10-02,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 52,164,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 49,594,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-04,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 53,020,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-05,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 48,527,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-06,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 57,266,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-09,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 42,390,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-10,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 43,698,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-10-11,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 47,551,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-12,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 56,743,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-13,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 51,427,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-16,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 52,517,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-10-17,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 57,549,400. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-18,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 54,764,400. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-19,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 59,302,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-10-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 64,244,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-23,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 55,980,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-10-24,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 43,816,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-10-25,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 57,157,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-26,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 70,625,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-10-27,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 58,499,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-30,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,131,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-10-31,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 44,846,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-01,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 56,934,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-02,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 77,334,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 79,829,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-11-06,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 63,841,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-07,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 70,530,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-08,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 49,340,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-09,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 53,763,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-10,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 66,133,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-13,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 43,627,500. Analysts continue to monitor market conditions.",negative,AAPL
2023-11-14,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,108,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-15,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 53,790,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-16,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 54,412,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-17,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 50,922,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-20,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 46,505,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-11-21,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 38,134,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-22,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 39,617,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-24,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 24,048,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-11-27,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 40,552,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-28,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 38,415,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-11-29,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 43,014,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-11-30,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 48,794,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-01,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 45,704,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-04,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 43,389,500. Analysts continue to monitor market conditions.",negative,AAPL
2023-12-05,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 66,628,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-06,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 41,089,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-12-07,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 47,477,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-08,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 53,406,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-11,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 60,943,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-12-12,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 52,696,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-13,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 70,404,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-14,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 66,831,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-15,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 128,538,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-18,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 55,751,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-12-19,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 40,714,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-12-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 52,242,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-12-21,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,482,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-22,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 37,149,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-12-26,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 28,919,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-27,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 48,087,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-28,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 34,049,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-12-29,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 42,672,100. Analysts continue to monitor market conditions.",negative,AAPL
