date,headline,body,sentiment_hint
2024-01-01,Company A reports cooling earnings outlook,Company A reports cooling earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
2024-01-02,Central bank hints at improving policy stance,Central bank hints at improving policy stance. Analysts debate near-term impacts on sector rotations.,positive
2024-01-03,Commodity prices pressure amid supply shifts,Commodity prices pressure amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-01-04,Tech sector sees weak investment inflows,Tech sector sees weak investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-01-05,Geopolitical tensions support trade routes,Geopolitical tensions support trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-06,Consumer demand shows strong trend,Consumer demand shows strong trend. Analysts debate near-term impacts on sector rotations.,negative
2024-01-07,Regulators propose strong oversight reforms,Regulators propose strong oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-01-08,Housing market data challenge expectations,Housing market data challenge expectations. Analysts debate near-term impacts on sector rotations.,negative
2024-01-09,Energy firms announce cooling capital plans,Energy firms announce cooling capital plans. Analysts debate near-term impacts on sector rotations.,positive
2024-01-10,Currency markets experience cooling volatility,Currency markets experience cooling volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-01-11,Company A reports stable earnings outlook,Company A reports stable earnings outlook. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-12,Central bank hints at mixed policy stance,Central bank hints at mixed policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-13,Commodity prices stabilize amid supply shifts,Commodity prices stabilize amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-01-14,Tech sector sees mixed investment inflows,Tech sector sees mixed investment inflows. Analysts debate near-term impacts on sector rotations.,positive
2024-01-15,Geopolitical tensions support trade routes,Geopolitical tensions support trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-16,Consumer demand shows cooling trend,Consumer demand shows cooling trend. Analysts debate near-term impacts on sector rotations.,negative
2024-01-17,Regulators propose mixed oversight reforms,Regulators propose mixed oversight reforms. Analysts debate near-term impacts on sector rotations.,positive
2024-01-18,Housing market data reshape expectations,Housing market data reshape expectations. Analysts debate near-term impacts on sector rotations.,positive
2024-01-19,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,negative
2024-01-20,Currency markets experience stable volatility,Currency markets experience stable volatility. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-21,Company A reports strong earnings outlook,Company A reports strong earnings outlook. Analysts debate near-term impacts on sector rotations.,negative
2024-01-22,Central bank hints at improving policy stance,Central bank hints at improving policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-23,Commodity prices stabilize amid supply shifts,Commodity prices stabilize amid supply shifts. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-24,Tech sector sees weak investment inflows,Tech sector sees weak investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-01-25,Geopolitical tensions stabilize trade routes,Geopolitical tensions stabilize trade routes. Analysts debate near-term impacts on sector rotations.,positive
2024-01-26,Consumer demand shows improving trend,Consumer demand shows improving trend. Analysts debate near-term impacts on sector rotations.,negative
2024-01-27,Regulators propose stable oversight reforms,Regulators propose stable oversight reforms. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-28,Housing market data challenge expectations,Housing market data challenge expectations. Analysts debate near-term impacts on sector rotations.,negative
2024-01-29,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-30,Currency markets experience strong volatility,Currency markets experience strong volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-01-31,Company A reports mixed earnings outlook,Company A reports mixed earnings outlook. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-01,Central bank hints at stable policy stance,Central bank hints at stable policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-02,Commodity prices pressure amid supply shifts,Commodity prices pressure amid supply shifts. Analysts debate near-term impacts on sector rotations.,positive
2024-02-03,Tech sector sees strong investment inflows,Tech sector sees strong investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-02-04,Geopolitical tensions pressure trade routes,Geopolitical tensions pressure trade routes. Analysts debate near-term impacts on sector rotations.,positive
2024-02-05,Consumer demand shows improving trend,Consumer demand shows improving trend. Analysts debate near-term impacts on sector rotations.,negative
2024-02-06,Regulators propose weak oversight reforms,Regulators propose weak oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-02-07,Housing market data support expectations,Housing market data support expectations. Analysts debate near-term impacts on sector rotations.,positive
2024-02-08,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-09,Currency markets experience stable volatility,Currency markets experience stable volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-02-10,Company A reports strong earnings outlook,Company A reports strong earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
2024-02-11,Central bank hints at cooling policy stance,Central bank hints at cooling policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-12,Commodity prices support amid supply shifts,Commodity prices support amid supply shifts. Analysts debate near-term impacts on sector rotations.,positive
2024-02-13,Tech sector sees weak investment inflows,Tech sector sees weak investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-02-14,Geopolitical tensions pressure trade routes,Geopolitical tensions pressure trade routes. Analysts debate near-term impacts on sector rotations.,negative
2024-02-15,Consumer demand shows strong trend,Consumer demand shows strong trend. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-16,Regulators propose improving oversight reforms,Regulators propose improving oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-02-17,Housing market data challenge expectations,Housing market data challenge expectations. Analysts debate near-term impacts on sector rotations.,positive
2024-02-18,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-19,Currency markets experience mixed volatility,Currency markets experience mixed volatility. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-20,Company A reports stable earnings outlook,Company A reports stable earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
2024-02-21,Central bank hints at stable policy stance,Central bank hints at stable policy stance. Analysts debate near-term impacts on sector rotations.,positive
2024-02-22,Commodity prices reshape amid supply shifts,Commodity prices reshape amid supply shifts. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-23,Tech sector sees improving investment inflows,Tech sector sees improving investment inflows. Analysts debate near-term impacts on sector rotations.,positive
2024-02-24,Geopolitical tensions pressure trade routes,Geopolitical tensions pressure trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-25,Consumer demand shows cooling trend,Consumer demand shows cooling trend. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-26,Regulators propose mixed oversight reforms,Regulators propose mixed oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-02-27,Housing market data support expectations,Housing market data support expectations. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-28,Energy firms announce cooling capital plans,Energy firms announce cooling capital plans. Analysts debate near-term impacts on sector rotations.,positive
2024-02-29,Currency markets experience improving volatility,Currency markets experience improving volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-03-01,Company A reports weak earnings outlook,Company A reports weak earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
2024-03-02,Central bank hints at cooling policy stance,Central bank hints at cooling policy stance. Analysts debate near-term impacts on sector rotations.,negative
2024-03-03,Commodity prices support amid supply shifts,Commodity prices support amid supply shifts. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-04,Tech sector sees strong investment inflows,Tech sector sees strong investment inflows. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-05,Geopolitical tensions challenge trade routes,Geopolitical tensions challenge trade routes. Analysts debate near-term impacts on sector rotations.,negative
2024-03-06,Consumer demand shows cooling trend,Consumer demand shows cooling trend. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-07,Regulators propose cooling oversight reforms,Regulators propose cooling oversight reforms. Analysts debate near-term impacts on sector rotations.,positive
2024-03-08,Housing market data support expectations,Housing market data support expectations. Analysts debate near-term impacts on sector rotations.,positive
2024-03-09,Energy firms announce improving capital plans,Energy firms announce improving capital plans. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-10,Currency markets experience strong volatility,Currency markets experience strong volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-03-11,Company A reports mixed earnings outlook,Company A reports mixed earnings outlook. Analysts debate near-term impacts on sector rotations.,negative
2024-03-12,Central bank hints at mixed policy stance,Central bank hints at mixed policy stance. Analysts debate near-term impacts on sector rotations.,positive
2024-03-13,Commodity prices reshape amid supply shifts,Commodity prices reshape amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-03-14,Tech sector sees mixed investment inflows,Tech sector sees mixed investment inflows. Analysts debate near-term impacts on sector rotations.,positive
2024-03-15,Geopolitical tensions stabilize trade routes,Geopolitical tensions stabilize trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-16,Consumer demand shows weak trend,Consumer demand shows weak trend. Analysts debate near-term impacts on sector rotations.,negative
2024-03-17,Regulators propose strong oversight reforms,Regulators propose strong oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-03-18,Housing market data stabilize expectations,Housing market data stabilize expectations. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-19,Energy firms announce strong capital plans,Energy firms announce strong capital plans. Analysts debate near-term impacts on sector rotations.,negative
2024-03-20,Currency markets experience weak volatility,Currency markets experience weak volatility. Analysts debate near-term impacts on sector rotations.,positive
2024-03-21,Company A reports improving earnings outlook,Company A reports improving earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
2024-03-22,Central bank hints at improving policy stance,Central bank hints at improving policy stance. Analysts debate near-term impacts on sector rotations.,negative
2024-03-23,Commodity prices challenge amid supply shifts,Commodity prices challenge amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-03-24,Tech sector sees mixed investment inflows,Tech sector sees mixed investment inflows. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-25,Geopolitical tensions stabilize trade routes,Geopolitical tensions stabilize trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-26,Consumer demand shows stable trend,Consumer demand shows stable trend. Analysts debate near-term impacts on sector rotations.,positive
2024-03-27,Regulators propose stable oversight reforms,Regulators propose stable oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-03-28,Housing market data pressure expectations,Housing market data pressure expectations. Analysts debate near-term impacts on sector rotations.,negative
2024-03-29,Energy firms announce cooling capital plans,Energy firms announce cooling capital plans. Analysts debate near-term impacts on sector rotations.,positive
2024-03-30,Currency markets experience improving volatility,Currency markets experience improving volatility. Analysts debate near-term impacts on sector rotations.,neutral
2024-03-31,Company A reports strong earnings outlook,Company A reports strong earnings outlook. Analysts debate near-term impacts on sector rotations.,negative
2024-04-01,Central bank hints at improving policy stance,Central bank hints at improving policy stance. Analysts debate near-term impacts on sector rotations.,negative
2024-04-02,Commodity prices support amid supply shifts,Commodity prices support amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-04-03,Tech sector sees cooling investment inflows,Tech sector sees cooling investment inflows. Analysts debate near-term impacts on sector rotations.,neutral
2024-04-04,Geopolitical tensions stabilize trade routes,Geopolitical tensions stabilize trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-04-05,Consumer demand shows weak trend,Consumer demand shows weak trend. Analysts debate near-term impacts on sector rotations.,negative
2024-04-06,Regulators propose improving oversight reforms,Regulators propose improving oversight reforms. Analysts debate near-term impacts on sector rotations.,positive
2024-04-07,Housing market data stabilize expectations,Housing market data stabilize expectations. Analysts debate near-term impacts on sector rotations.,negative
2024-04-08,Energy firms announce stable capital plans,Energy firms announce stable capital plans. Analysts debate near-term impacts on sector rotations.,negative
2024-04-09,Currency markets experience improving volatility,Currency markets experience improving volatility. Analysts debate near-term impacts on sector rotations.,neutral
